100 3
1 94 67
76 98 57
41 37 38
5 51 58
92 4 60
89 14 23
50 1 52
60 67 91
39 80 76
62 48 4
31 86 87
42 9 84
97 69 73
96 41 48
68 60 55
18 94 54
18 10 99
33 14 25
78 99 59
93 28 81
14 14 49
57 60 82
98 72 43
22 3 52
31 42 89
93 23 50
84 11 83
76 48 65
5 88 9
76 98 66
99 19 53
40 73 38
36 25 8
46 12 4
62 35 61
15 8 99
4 95 66
45 64 72
74 26 79
38 44 91
73 24 9
43 80 30
14 20 43
53 61 56
51 44 57
63 99 43
61 37 70
66 68 45
50 27 26
94 56 65
92 83 78
99 58 87
80 54 65
10 44 30
68 10 85
5 79 26
43 31 93
57 76 86
14 96 59
6 49 66
49 57 27
95 55 46
39 27 50
82 14 18
2 53 67
86 54 98
18 74 67
7 61 63
54 68 13
43 11 42
30 30 20
89 8 47
3 20 25
57 58 75
90 95 40
67 4 46
98 50 97
70 32 18
51 68 47
38 47 44
45 19 3
20 95 35
97 61 91
49 2 3
20 82 57
53 48 42
16 10 27
86 83 45
92 88 42
41 43 66
56 43 69
8 76 52
31 52 67
47 82 34
75 50 32
59 10 94
4 31 85
73 64 71
1 5 58
5 88 84
